Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Cluster
0,-1.1818181818181819,4,2,3.6418407679277243,1.7586489588457124,1.5739181515566871,2.433881964302064,4.2768299463631,-0.30926003296118276,1
1,-1.1818181818181819,1,2,-0.1513269339356296,-0.3737907853746516,1.5739181515566871,-0.25361234526515486,-0.07617652100116644,-0.42250208998677996,0
8,-1.1818181818181819,1,2,-0.4811405985319029,-0.5649286768322676,1.5739181515566871,-0.48728836923440216,-0.4546678316562222,-1.0466746804310936,0
9,-1.1818181818181819,4,2,0.583794466403162,0.0,1.5739181515566871,0.26722794852968007,0.7674424438024923,0.0,0
11,-1.1818181818181819,1,2,-0.4278938452851496,-0.5332841449417938,1.5739181515566871,-0.44956255334619816,-0.3935623178832864,-0.8052884618054272,0
13,-1.1818181818181819,4,2,0.24110671936758893,-0.1939252336448598,1.5739181515566871,0.024430518385978307,0.3741769474207884,-0.5108173074571237,0
16,-1.1818181818181819,2,2,-0.3578769057029927,-0.5040580423020167,1.5739181515566871,-0.39995490573074416,-0.31321148322958514,-0.7463942317290356,0
21,-1.1818181818181819,1,2,4.8110107284020325,0.0,1.5739181515566871,3.2622496671452823,5.618559286959502,0.0,1
23,-1.1818181818181819,2,2,0.044099378881987575,-0.3544023610427939,1.5739181515566871,-0.11515099978363373,0.14809302636694663,-0.7518028854575977,0
24,-1.1818181818181819,1,2,0.5589497459062677,0.03758812920150845,1.5739181515566871,0.24962523485968025,0.7389308573124693,-0.5478156355999113,0
26,-1.1818181818181819,1,2,-0.19209486166007905,0.6230119691752747,1.5739181515566871,-0.28249679815092726,-0.12296144246888599,4.678896762826392,0
29,-1.1818181818181819,4,2,0.03370976849237719,-0.35776356779799967,1.5739181515566871,-0.1225121345910882,0.13616999928930063,-0.7240526023913715,0
31,-1.1818181818181819,4,2,-0.08385093167701864,0.16965896048532547,1.5739181515566871,-0.20580497518413274,0.0012583559433279922,1.7354201517958752,0
32,-1.1818181818181819,2,2,5.58893280632411,1.82275782915232,1.5739181515566871,3.813414635853435,6.511295939398246,-0.6731291812130429,1
37,-1.1818181818181819,4,2,3.72343308865048,0.0,1.5739181515566871,2.491690876241041,4.370464588358744,0.0,1
39,-1.1818181818181819,2,2,0.0,5.778324315461551,1.5739181515566871,0.0,0.0,-0.6282922239799482,2
40,-1.1818181818181819,0,2,0.0,0.0,1.5739181515566871,0.0,0.0,-0.3293791810477784,0
40,-1.1818181818181819,3,2,9.353867871259176,8.02668470241023,1.5739181515566871,6.480905861704746,0.0,0.04023829485107613,1
40,-1.1818181818181819,5,2,0.0,0.0,1.5739181515566871,0.0,0.0,-0.11726588611407023,0
43,-1.1818181818181819,4,2,0.36408808582721625,-0.22737333989178554,1.5739181515566871,0.11156395105247731,0.5153093005464022,-0.7173913051525921,0
44,-1.1818181818181819,1,2,0.06623376623376623,-0.34485161501885553,1.5739181515566871,-0.09946858215036118,0.17349425796714896,-0.7364182695848165,0
46,-1.1818181818181819,1,2,1.242292490118577,0.0,1.5739181515566871,0.7337798731195384,1.523129083908512,0.0,0
48,-1.1818181818181819,4,2,0.0035573122529644267,0.7711919986883096,1.5739181515566871,-0.14387542799967887,0.1015673011400454,3.186872911748497,0
49,-1.1818181818181819,4,2,-0.38690005646527387,-0.08509591736350221,1.5739181515566871,-0.4205180757906984,-0.3465182001747484,4.479671825470996,0
50,-1.1818181818181819,4,2,-0.5016374929418408,-0.5647647155271356,1.5739181515566871,-0.501810608012152,-0.47818989051049116,-0.8593750004131611,0
51,-1.1818181818181819,4,2,0.04257481648785997,-0.27996392851287094,1.5739181515566871,-0.11623116630429285,0.1463434517414225,-0.4759615386903661,0
53,-1.1818181818181819,2,2,4.256408808582721,3.945318904738482,1.5739181515566871,2.8693090906299688,4.982102917629942,0.3034569604824311,1
0,-1.1818181818181819,4,12,4.730830039525692,4.899901623216921,0.03739964754258887,3.205440909392101,5.526544621468973,0.348471841393496,1
1,-1.1818181818181819,1,12,0.0,3.470609936055091,0.03739964754258887,0.0,0.0,-1.0071408377438178,0
2,-1.1818181818181819,1,12,0.0,4.847188063616986,0.03739964754258887,0.0,0.0,-0.8269230767196745,2
2,-1.1818181818181819,3,12,-0.479785431959345,-0.5386948680111494,0.03739964754258887,-0.48632822121603864,-0.45311265421131186,-0.2908653847552237,0
5,-1.1818181818181819,1,12,-0.3101072840203275,-0.5279554025250041,0.03739964754258887,-0.3661096880834263,-0.2583914782964954,-0.7833533657612276,0
6,-1.1818181818181819,4,12,0.6726708074534161,-0.516068207902935,0.03739964754258887,0.3301976560673612,0.8694361645645292,-1.2843406593915099,0
10,-1.1818181818181819,4,12,0.45172219085262566,-0.44888506312510246,0.03739964754258887,0.17365352290665836,0.6158774419839382,-1.2013621805054626,0
13,-1.1818181818181819,1,12,0.0,5.140268896540417,0.03739964754258887,6.94517743475099,0.0,0.06390224317976066,2
13,-1.1818181818181819,2,12,-0.2683229813664596,-0.24221183800623053,0.03739964754258887,-0.3365051241838812,-0.21044017374509302,1.1098424144758856,0
14,-1.1818181818181819,4,12,-0.24031620553359684,-0.4101082144613871,0.03739964754258887,-0.3166620651376996,-0.1782998398836125,0.7337740388143144,0
15,-1.1818181818181819,1,12,-0.3217391304347826,-0.37133136579767173,0.03739964754258887,-0.3743509585743808,-0.2717400846986425,0.3071375737053546,0
17,-1.1818181818181819,1,12,0.0,0.0,0.03739964754258887,0.0,0.0,-0.4238546378239686,0
